0,,,,0,,,,0,,,,0,,,,,,Para,,,,,Para,
Force (N),Position (m),,,,,,,,,,,,,,,,,,,,,,,
0,0.15,,,Run #21,Run #21,,,,,,,,,,,,,,,,,,0,
0,0.15,,,Force (N),Position (m),,,Run #38,Run #38,,,,,,,,,0,,,,,Run #74,Run #74
1.2,0.17,,,140,,,,1.4,0.23,,,130,,,,,,1.4,0.19,,,,Run #82,Run #82
1.2,0.17,,,Run #25,Run #25,,,1.4,0.23,,,Run #53,Run #53,,,,,1.4,0.19,,,,Force (N),Position (m)
1.2,0.18,,,Force (N),Position (m),,,1.4,0.23,,,Force (N),Position (m),,,,,1.4,0.19,,,,1.4,0.39
1.3,0.18,,,1.5,0.16,,,1.4,0.23,,,1.3,0.39,,,,,1.4,0.19,,,,1.4,0.38
1.3,0.18,,,1.4,0.16,,,1.4,0.23,,,1.3,0.39,,,,,1.4,0.19,,,,1.4,0.38
1.3,0.18,,,1.4,0.16,,,1.4,0.23,,,1.3,0.39,,,,,1.4,0.19,,,,1.4,0.4
1.3,0.18,,,1.5,0.16,,,1.4,0.23,,,1.3,0.39,,,,,1.4,0.19,,,,1.4,0.4
1.3,0.18,,,1.5,0.16,,,1.4,0.23,,,1.3,0.39,,,,,1.4,0.19,,,,1.4,0.4
1.3,0.18,,,1.6,0.16,,,1.4,0.23,,,1.3,0.39,,,,,1.4,0.19,,,,1.4,0.39
1.3,0.18,,,1.6,0.16,,,,,,,1.3,0.39,,,,,1.4,0.19,,,,1.4,0.38
1.3,0.17,,,1.5,0.16,,,,,,,1.3,0.39,,,,,1.4,0.19,,,,1.4,0.38
,,,,1.4,0.16,,,,,,,1.3,0.39,,,,,1.4,0.19,,,,1.4,0.38
140,,,,1.4,0.16,,,150,,,,1.3,0.39,,,,,1.4,0.19,,,,1.4,0.39
Run #15,Run #15,,,1.5,0.16,,,Run #43,Run #43,,,1.3,0.39,,,,,,,,,,1.4,0.39
Force (N),Position (m),,,1.5,0.16,,,Force (N),Position (m),,,1.3,0.39,,,,,,,,,,1.4,0.38
1.4,0.19,,,,,,,1.5,0.24,,,1.3,0.39,,,,,,,,,,1.4,0.38
1.3,0.19,,,,,,,1.5,0.24,,,1.3,0.39,,,,,,,,,,,
1.4,0.19,,,150,,,,1.5,0.24,,,1.3,0.39,,,,,,,,,,,
1.4,0.19,,,Run #26,Run #26,,,1.5,0.24,,,,,,,,,160,,,,,,
1.4,0.19,,,Force (N),Position (m),,,1.5,0.24,,,,,,,,,Run #67,Run #67,,,,,
1.4,0.19,,,1.6,0.16,,,1.5,0.24,,,,,,,,,Force (N),Position (m),,,,,
1.4,0.19,,,1.6,0.16,,,1.5,0.24,,,,,,,,,1.6,0.18,,,,160,
1.4,0.19,,,1.6,0.16,,,1.5,0.24,,,140,,,,,,1.6,0.18,,,,Run #79,Run #79
1.4,0.19,,,1.6,0.16,,,1.5,0.24,,,Run #54,Run #54,,,,,1.6,0.18,,,,Force (N),Position (m)
1.4,0.19,,,1.6,0.16,,,1.5,0.24,,,Force (N),Position (m),,,,,1.6,0.18,,,,1.6,0.39
1.4,0.19,,,1.6,0.16,,,1.5,0.24,,,1.5,0.4,,,,,1.6,0.18,,,,1.6,0.39
1.4,0.19,,,1.6,0.16,,,1.5,0.24,,,1.4,0.41,,,,,1.6,0.18,,,,1.6,0.39
1.4,0.19,,,1.6,0.16,,,1.5,0.24,,,1.4,0.41,,,,,1.6,0.18,,,,1.6,0.39
1.4,0.19,,,1.6,0.16,,,,,,,1.5,0.4,,,,,1.6,0.18,,,,1.6,0.39
1.4,0.19,,,1.6,0.16,,,,,,,1.4,0.42,,,,,1.6,0.18,,,,1.6,0.39
,,,,1.6,0.16,,,160,,,,1.4,0.41,,,,,1.6,0.18,,,,1.6,0.39
150,,,,1.6,0.16,,,Run #44,Run #44,,,1.4,0.4,,,,,1.6,0.18,,,,1.6,0.39
Run #10,Run #10,,,,,,,Force (N),Position (m),,,1.4,0.41,,,,,1.6,0.18,,,,1.6,0.39
Force (N),Position (m),,,160,,,,1.6,0.25,,,1.4,0.4,,,,,1.6,0.18,,,,1.6,0.39
1.5,0.19,,,Run #27,Run #27,,,1.6,0.25,,,1.4,0.41,,,,,,,,,,1.6,0.39
