Angular Acceleration (rad/s²) Run #11,Time (s) Auto,,,Angular Acceleration (rad/s²) Run #12,Time (s) Auto,,,Angular Acceleration (rad/s²) Run #14,Time (s) Auto,,Angular Acceleration (rad/s²) Run #15,Time (s) Auto,,,Angular Acceleration (rad/s²) Run #16,Time (s) Auto
0.545,10.4,,,,,,,,,,,,,,,
0.327,10.42,,,,,,,,,,,,,,,
0.109,10.44,,,,,,,,,,,,,,,
0.109,10.46,,,,,,,,,,,,,,,
0.327,10.48,,,,,,,,,,,,,,,
0.545,10.5,,,,,,,,,,,,,,,
0.654,10.52,,,,,,,,,,,,,,,
0.545,10.54,,,,,,,,,,,,,,,
0.327,10.56,,,,,,,,,,,,,,,
0.109,10.58,,,,,,,,,,,,,,,
0.109,10.6,,,,,,,,,,,,,,,
0.327,10.62,,,,,,,,,,,,,,,
0.436,10.64,,,,,,,,,,,,,,,
0.327,10.66,,,,,,,,,,,,,,,
0.218,10.68,,,,,,,,,,,,,,,
0.436,10.7,,,,,,,,,,,,,,,
0.654,10.72,,,,,,,,,,,,,,,
0.436,10.74,,,,,,,,,,,,,,,
6.88E-13,10.76,,,,,,,,,,,,,,,
-0.109,10.78,,,,,,,,,,,,,,,
0.327,10.8,,,,,,,,,,,,,,,
0.764,10.82,,,,,,,,,,,,,,,
0.764,10.84,,,,,,,,,,,,,,,
0.436,10.86,,,,,,,,,,,,,,,
0.109,10.88,,,,,,,,,,,,,,,
0.109,10.9,,,,,,,,,,,,,,,
0.327,10.92,,,,,,,,,,,,,,,
0.545,10.94,,,,,,,,,,,,,,,
0.545,10.96,,,,,,,,,,,,,,,
0.218,10.98,,,,,,,,,,,,,,,
-0.109,11,,,,,,,,,,,,,,,
-0.109,11.02,,,,,,,,,,,,,,,
0.218,11.04,,,,,,,,,,,,,,,
0.436,11.06,,,,,,,,,,,,,,,
0.327,11.08,,,,,,,,,,,,,,,
0.109,11.1,,,,,,,,,,,,,,,
2.20E-12,11.12,,,,,,,,,,,,,,,
0.109,11.14,,,,,,,,,,,,,,,
0.327,11.16,,,,,,,,,,,,,,,
0.436,11.18,,,,,,,,,,,,,,,
0.327,11.2,,,,,,,,,,,,,,,
0.218,11.22,,,,,,,,,,,,,,,
0.327,11.24,,,,,,,,,,,,,,,
0.327,11.26,,,,,,,,,,,,,,,
-1.52E-12,11.28,,,,,,,,,,,,,,,
-0.327,11.3,,,,,,,,,,,,,,,
-0.218,11.32,,,,,,,,,,,,,,,
0.109,11.34,,,,,,,,,,,,,,,
0.218,11.36,,,,,,,,,,,,,,,
0.109,11.38,,,,,,,,,,,,,,,
2.15E-12,11.4,,,,,,,,,,,,,,,
1.42E-12,11.42,,,,,,,,,,,,,,,
-0.109,11.44,,,,,,,,,,,,,,,
-0.327,11.46,,,,,,,,,,,,,,,
-0.545,11.48,,,,,,,,,,,,,,,
-0.436,11.5,,,,,,,,,,,,,,,
-7.33E-13,11.52,,,,,,,,,,,,,,,
0.327,11.54,,,,,,,,,,,,,,,
0.218,11.56,,,,,,,,,,,,,,,
-0.327,11.58,,,,,,,,,,,,,,,
-0.764,11.6,,,,,,,,,,,,,,,
-0.764,11.62,,,,,,,,,,,,,,,
-0.327,11.64,,,,,,,,,,,,,,,
0.109,11.66,,,,,,,,,,,,,,,
0.109,11.68,,,,,,,,,,,,,,,
-0.109,11.7,,,,,,,,,,,,,,,
-0.109,11.72,,,,,,,,,,,,,,,
0.109,11.74,,,,,,,,,,,,,,,
0.109,11.76,,,,,,,,,,,,,,,
-0.218,11.78,,,,,,,,,,,,,,,
