Angular Velocity (rad/s) Run #11,Time (s) Auto,,,Angular Velocity (rad/s) Run #12,Time (s) Auto,,,Angular Velocity (rad/s) Run #14,Time (s) Auto,,,Angular Velocity (rad/s) Run #15,Time (s) Auto,,,Angular Velocity (rad/s) Run #16,Time (s) Auto
,,,,4.215,7.32,,,,,,,,,,,,
,,,,4.241,7.34,,,,,,,,,,,,
,,,,4.267,7.36,,,,,,,,,,,,
,,,,4.267,7.38,,,,,,,,,,,,
,,,,4.267,7.4,,,,,,,,,,,,
,,,,4.28,7.42,,,,,,,,,,,,
,,,,4.307,7.44,,,,,,,,,,,,
,,,,4.32,7.46,,,,,,,,,,,,
,,,,4.32,7.48,,,,,,,,,,,,
,,,,4.333,7.5,,,,,,,,,,,,
,,,,4.359,7.52,,,,,,,,,,,,
,,,,4.372,7.54,,,,,,,,,,,,
,,,,4.372,7.56,,,,,,,,,,,,
,,,,4.372,7.58,,,,,,,,,,,,
,,,,4.398,7.6,,,,,,,,,,,,
,,,,4.424,7.62,,,,,,,,,,,,
,,,,4.438,7.64,,,,,,,,,,,,
,,,,4.438,7.66,,,,,,,,,,,,
,,,,4.438,7.68,,,,,,,,,,,,
,,,,4.451,7.7,,,,,,,,,,,,
,,,,4.464,7.72,,,,,,,,,,,,
,,,,4.49,7.74,,,,,,,,,,,,
,,,,4.503,7.76,,,,,,,,,,,,
,,,,4.516,7.78,,,,,,,,,,,,
,,,,4.529,7.8,,,,,,,,,,,,
,,,,4.542,7.82,,,,,,,,,,,,
,,,,4.555,7.84,,,,,,,,,,,,
,,,,4.555,7.86,,,,,,,,,,,,
,,,,4.568,7.88,,,,,,,,,,,,
,,,,4.581,7.9,,,,,,,,,,,,
,,,,4.595,7.92,,,,,,,,,,,,
,,,,4.608,7.94,,,,,,,,,,,,
,,,,4.621,7.96,,,,,,,,,,,,
,,,,4.634,7.98,,,,,,,,,,,,
,,,,4.647,8,,,,,,,,,,,,
,,,,4.66,8.02,,,,,,,,,,,,
,,,,4.673,8.04,,,,,,,,,,,,
,,,,4.686,8.06,,,,,,,,,,,,
,,,,4.699,8.08,,,,,,,,,,,,
,,,,4.712,8.1,,,,,,,,,,,,
,,,,4.725,8.12,,,,,,,,,,,,
,,,,4.739,8.14,,,,,,,,,,,,
,,,,4.752,8.16,,,,,,,,,,,,
,,,,4.765,8.18,,,,,,,,,,,,
,,,,4.778,8.2,,,,,,,,,,,,
,,,,4.804,8.22,,,,,,,,,,,,
,,,,4.817,8.24,,,,,,,,,,,,
,,,,4.817,8.26,,,,,,,,,,,,
,,,,4.817,8.28,,,,,,,,,,,,
,,,,4.83,8.3,,,,,,,,,,,,
,,,,4.843,8.32,,,,,,,,,,,,
,,,,4.843,8.34,,,,,,,,,,,,
,,,,4.843,8.36,,,,,,,,,,,,
,,,,4.856,8.38,,,,,,,,,,,,
,,,,4.869,8.4,,,,,,,,,,,,
,,,,4.869,8.42,,,,,,,,,,,,
,,,,4.869,8.44,,,,,,,,,,,,
,,,,4.883,8.46,,,,,,,,,,,,
,,,,4.909,8.48,,,,,,,,,,,,
,,,,4.922,8.5,,,,,,,,,,,,
,,,,4.922,8.52,,,,,,,,,,,,
,,,,4.922,8.54,,,,,,,,,,,,
,,,,4.935,8.56,,,,,,,,,,,,
,,,,4.948,8.58,,,,,,,,,,,,
,,,,4.948,8.6,,,,,,,,,,,,
,,,,4.948,8.62,,,,,,,,,,,,
,,,,4.935,8.64,,,,,,,,,,,,
,,,,4.922,8.66,,,,,,,,,,,,
,,,,4.909,8.68,,,,,,,,,,,,
,,,,4.909,8.7,,,,,,,,,,,,
,,,,4.909,8.72,,,,,,,,,,,,
,,,,4.896,8.74,,,,,,,,,,,,
,,,,4.883,8.76,,,,,,,,,,,,
,,,,4.869,8.78,,,,,,,,,,,,
,,,,4.856,8.8,,,,,,,,,,,,
,,,,4.83,8.82,,,,,,,,,,,,
,,,,4.804,8.84,,,,,,,,,,,,
,,,,4.778,8.86,,,,,,,,,,,,
,,,,4.752,8.88,,,,,,,,,,,,
,,,,4.712,8.9,,,,,,,,,,,,
