Angular Acceleration (rad/s²) Run #1,Time (s) Auto,,,Angular Acceleration (rad/s²) Run #2,Time (s) Auto,,,Angular Acceleration (rad/s²) Run #3,Time (s) Auto,,,Angular Acceleration (rad/s²) Run #4,Time (s) Auto,,,Angular Acceleration (rad/s²) Run #5,Time (s) Auto,,,Angular Acceleration (rad/s²) Run #6,Time (s) Auto,,Angular Acceleration (rad/s²) Run #7,Time (s) Auto
,,,,,,,,,,,,,,,,,,,,,,,27.707,1.04
,,,,,,,,,,,,,,,,,,,,,,,29.452,1.06
,,,,,,,,,,,,,,,,,,,,,,,29.343,1.08
,,,,,,,,,,,,,,,,,,,,,,,29.234,1.1
,,,,,,,,,,,,,,,,,,,,,,,29.234,1.12
,,,,,,,,,,,,,,,,,,,,,,,29.125,1.14
,,,,,,,,,,,,,,,,,,,,,,,28.907,1.16
,,,,,,,,,,,,,,,,,,,,,,,28.798,1.18
,,,,,,,,,,,,,,,,,,,,,,,28.689,1.2
,,,,,,,,,,,,,,,,,,,,,,,28.471,1.22
,,,,,,,,,,,,,,,,,,,,,,,28.362,1.24
,,,,,,,,,,,,,,,,,,,,,,,28.362,1.26
,,,,,,,,,,,,,,,,,,,,,,,28.253,1.28
,,,,,,,,,,,,,,,,,,,,,,,27.925,1.3
,,,,,,,,,,,,,,,,,,,,,,,27.707,1.32
,,,,,,,,,,,,,,,,,,,,,,,27.816,1.34
,,,,,,,,,,,,,,,,,,,,,,,27.925,1.36
,,,,,,,,,,,,,,,,,,,,,,,27.816,1.38
,,,,,,,,,,,,,,,,,,,,,,,27.707,1.4
,,,,,,,,,,,,,,,,,,,,,,,27.816,1.42
,,,,,,,,,,,,,,,,,,,,,,,27.925,1.44
,,,,,,,,,,,,,,,,,,,,,,,27.925,1.46
,,,,,,,,,,,,,,,,,,,,,,,28.034,1.48
,,,,,,,,,,,,,,,,,,,,,,,28.253,1.5
,,,,,,,,,,,,,,,,,,,,,,,28.253,1.52
,,,,,,,,,,,,,,,,,,,,,,,28.034,1.54
,,,,,,,,,,,,,,,,,,,,,,,28.143,1.56
,,,,,,,,,,,,,,,,,,,,,,,28.58,1.58
,,,,,,,,,,,,,,,,,,,,,,,28.798,1.6
,,,,,,,,,,,,,,,,,,,,,,,28.689,1.62
,,,,,,,,,,,,,,,,,,,,,,,28.689,1.64
,,,,,,,,,,,,,,,,,,,,,,,29.016,1.66
,,,,,,,,,,,,,,,,,,,,,,,29.125,1.68
,,,,,,,,,,,,,,,,,,,,,,,28.689,1.7
,,,,,,,,,,,,,,,,,,,,,,,27.816,1.72
,,,,,,,,,,,,,,,,,,,,,,,26.507,1.74
,,,,,,,,,,,,,,,,,,,,,,,24.544,1.76
,,,,,,,,,,,,,,,,,,,,,,,21.817,1.78
,,,,,,,,,,,,,,,,,,,,,,,18.762,1.8
,,,,,,,,,,,,,,,,,,,,,,,15.926,1.82
,,,,,,,,,,,,,,,,,,,,,,,13.308,1.84
,,,,,,,,,,,,,,,,,,,,,,,10.472,1.86
,,,,,,,,,,,,,,,,,,,,,,,7.309,1.88
,,,,,,,,,,,,,,,,,,,,,,,4.363,1.9
,,,,,,,,,,,,,,,,,,,,,,,2.4,1.92
,,,,,,,,,,,,,,,,,,,,,,,1.418,1.94
,,,,,,,,,,,,,,,,,,,,,,,0.764,1.96
,,,,,,,,,,,,,,,,,,,,,,,-8.88E-14,1.98
,,,,,,,,,,,,,,,,,,,,,,,-0.654,2
,,,,,,,,,,,,,,,,,,,,,,,-0.873,2.02
,,,,,,,,,,,,,,,,,,,,,,,-0.764,2.04
,,,,,,,,,,,,,,,,,,,,,,,-0.654,2.06
,,,,,,,,,,,,,,,,,,,,,,,-0.654,2.08
,,,,,,,,,,,,,,,,,,,,,,,-0.545,2.1
,,,,,,,,,,,,,,,,,,,,,,,-0.327,2.12
,,,,,,,,,,,,,,,,,,,,,,,-0.109,2.14
,,,,,,,,,,,,,,,,,,,,,,,0.109,2.16
,,,,,,,,,,,,,,,,,,,,,,,0.327,2.18
,,,,,,,,,,,,,,,,,,,,,,,0.545,2.2
,,,,,,,,,,,,,,,,,,,,,,,0.545,2.22
,,,,,,,,,,,,,,,,,,,,,,,0.218,2.24
,,,,,,,,,,,,,,,,,,,,,,,-0.218,2.26
,,,,,,,,,,,,,,,,,,,,,,,-0.654,2.28
,,,,,,,,,,,,,,,,,,,,,,,-0.982,2.3
,,,,,,,,,,,,,,,,,,,,,,,-1.091,2.32
,,,,,,,,,,,,,,,,,,,,,,,-0.764,2.34
,,,,,,,,,,,,,,,,,,,,,,,-0.109,2.36
,,,,,,,,,,,,,,,,,,,,,,,0.327,2.38
,,,,,,,,,,,,,,,,,,,,,,,0.218,2.4
,,,,,,,,,,,,,,,,,,,,,,,-0.218,2.42
,,,,,,,,,,,,,,,,,,,,,,,-0.327,2.44
,,,,,,,,,,,,,,,,,,,,,,,0.109,2.46
,,,,,,,,,,,,,,,,,,,,,,,0.654,2.48
,,,,,,,,,,,,,,,,,,,,,,,0.654,2.5
,,,,,,,,,,,,,,,,,,,,,,,7.11E-13,2.52
,,,,,,,,,,,,,,,,,,,,,,,-0.764,2.54
,,,,,,,,,,,,,,,,,,,,,,,-1.091,2.56
,,,,,,,,,,,,,,,,,,,,,,,-0.982,2.58
,,,,,,,,,,,,,,,,,,,,,,,-0.764,2.6
,,,,,,,,,,,,,,,,,,,,,,,-0.545,2.62
,,,,,,,,,,,,,,,,,,,,,,,-0.327,2.64
,,,,,,,,,,,,,,,,,,,,,,,0,2.66
,,,,,,,,,,,,,,,,,,,,,,,0.218,2.68
,,,,,,,,,,,,,,,,,,,,,,,0.218,2.7
,,,,,,,,,,,,,,,,,,,,,,,0.109,2.72
,,,,,,,,,,,,,,,,,,,,,,,2.67E-12,2.74
