Velocity (m/s) Run #6,Time (s) Auto
1.13,1.225
1.11,1.25
1.17,1.275
1.25,1.3
1.31,1.325
1.35,1.35
1.39,1.375
1.43,1.4
1.47,1.425
1.53,1.45
1.59,1.475
1.63,1.5
1.63,1.525
1.63,1.55
1.67,1.575
1.72,1.6
1.76,1.625
1.81,1.65
